Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume
台積電,2330.TW,2010-01-04,65.0,65.0,64.0,64.9000015258789,39.94198226928711,39407000
台積電,2330.TW,2010-01-05,65.0,65.0999984741211,63.900001525878906,64.5,39.69580841064453,37138000
台積電,2330.TW,2010-01-06,64.5,64.9000015258789,63.70000076293945,64.9000015258789,39.94198226928711,49261000
台積電,2330.TW,2010-01-07,64.9000015258789,65.0,64.19999694824219,64.19999694824219,39.51118469238281,42134000
台積電,2330.TW,2010-01-08,63.5,64.30000305175781,63.5,64.0,39.388092041015625,46076000
台積電,2330.TW,2010-01-11,64.0,64.9000015258789,63.5,64.5,39.69580841064453,36799000
台積電,2330.TW,2010-01-12,64.4000015258789,64.4000015258789,63.29999923706055,63.599998474121094,39.14192199707031,49853000
台積電,2330.TW,2010-01-13,63.0,63.099998474121094,62.599998474121094,62.79999923706055,38.64957046508789,47976000
台積電,2330.TW,2010-01-14,63.599998474121094,63.599998474121094,63.0,63.20000076293945,38.89574432373047,36149000
台積電,2330.TW,2010-01-15,62.900001525878906,63.5,62.79999923706055,63.5,39.080379486083984,47852000
台積電,2330.TW,2010-01-18,62.79999923706055,63.099998474121094,62.79999923706055,62.900001525878906,38.711116790771484,30136000
台積電,2330.TW,2010-01-19,63.0,63.20000076293945,62.0,62.5,38.464942932128906,47202000
台積電,2330.TW,2010-01-20,62.900001525878906,63.20000076293945,62.20000076293945,63.0,38.77266311645508,52281000
台積電,2330.TW,2010-01-21,63.0,63.0,62.099998474121094,62.599998474121094,38.526485443115234,24738000
台積電,2330.TW,2010-01-22,61.5,61.70000076293945,61.0,61.099998474121094,37.60332107543945,63918000
台積電,2330.TW,2010-01-25,60.099998474121094,60.79999923706055,60.099998474121094,60.400001525878906,37.172515869140625,62151000
台積電,2330.TW,2010-01-26,60.599998474121094,61.20000076293945,60.0,60.099998474121094,36.987892150878906,79112000
台積電,2330.TW,2010-01-27,60.099998474121094,60.400001525878906,59.5,59.599998474121094,36.680171966552734,52639000
台積電,2330.TW,2010-01-28,60.5,61.5,59.79999923706055,60.0,36.926353454589844,43988000
台積電,2330.TW,2010-01-29,60.099998474121094,61.5,59.400001525878906,61.5,37.84950637817383,91560000
台積電,2330.TW,2010-02-01,60.70000076293945,60.70000076293945,59.5,59.79999923706055,36.80324935913086,75480000
台積電,2330.TW,2010-02-02,60.20000076293945,60.400001525878906,59.0,59.0,36.310909271240234,65510000
台積電,2330.TW,2010-02-03,60.20000076293945,60.29999923706055,58.79999923706055,59.79999923706055,36.80324935913086,42426000
台積電,2330.TW,2010-02-04,60.0,60.0,59.0,59.099998474121094,36.372440338134766,42564000
台積電,2330.TW,2010-02-05,57.599998474121094,57.900001525878906,57.20000076293945,57.20000076293945,35.20310592651367,62227000
台積電,2330.TW,2010-02-08,58.0,58.20000076293945,57.0,57.400001525878906,35.326194763183594,45247000
台積電,2330.TW,2010-02-09,58.400001525878906,59.20000076293945,57.70000076293945,58.599998474121094,36.064727783203125,45754000
台積電,2330.TW,2010-02-10,59.0,59.20000076293945,58.20000076293945,58.400001525878906,35.9416389465332,53679000
台積電,2330.TW,2010-02-22,60.5,60.5,59.0,59.0,36.310909271240234,47519000
台積電,2330.TW,2010-02-23,59.599998474121094,59.900001525878906,59.099998474121094,59.79999923706055,36.80324935913086,50343000
台積電,2330.TW,2010-02-24,59.20000076293945,59.20000076293945,58.400001525878906,58.5,36.003173828125,54884000
台積電,2330.TW,2010-02-25,58.5,58.900001525878906,57.900001525878906,58.20000076293945,35.81855392456055,55655000
台積電,2330.TW,2010-02-26,58.20000076293945,58.900001525878906,58.0,58.79999923706055,36.187808990478516,30877000
台積電,2330.TW,2010-03-01,59.5,59.900001525878906,58.20000076293945,59.599998474121094,36.680171966552734,60146000
台積電,2330.TW,2010-03-02,60.5,60.5,59.5,59.900001525878906,36.86480712890625,53495000
台積電,2330.TW,2010-03-03,59.599998474121094,60.099998474121094,59.599998474121094,60.0,36.926353454589844,32150000
