Company,Ticker,Date,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,,,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW,2308.TW,2308.TW,2308.TW,2308.TW,2308.TW,2454.TW,2454.TW,2454.TW,2454.TW,2454.TW
台積電,2330.TW,2010-01-04,39.94198989868164,40.0035328562983,39.38809388927832,40.0035328562983,39407000.0,,,,,,,,,,
台積電,2330.TW,2010-01-05,39.69581604003906,40.065078505977276,39.32655357410084,40.00353554422541,37138000.0,,,,,,,,,,
台積電,2330.TW,2010-01-06,39.94198989868164,39.94198989868164,39.203462668715,39.69581337278831,49261000.0,,,,,,,,,,
台積電,2330.TW,2010-01-07,39.51118469238281,40.003537805077755,39.51118469238281,39.9419948398477,42134000.0,,,,,,,,,,
台積電,2330.TW,2010-01-08,39.38808822631836,39.57272176804963,39.08036878705025,39.08036878705025,46076000.0,,,,,,,,,,
台積電,2330.TW,2010-01-11,39.69581604003906,39.94199258247354,39.08037703166636,39.38809653585271,36799000.0,,,,,,,,,,
台積電,2330.TW,2010-01-12,39.14191818237305,39.63427124446147,38.95728695794658,39.63427124446147,49853000.0,,,,,,,,,,
台積電,2330.TW,2010-01-13,38.649574279785156,38.834205536751924,38.52648599256938,38.772662567000935,47976000.0,,,,,,,,,,
台積電,2330.TW,2010-01-14,38.895755767822266,39.14193002563861,38.77266746505704,39.14193002563861,36149000.0,,,,,,,,,,
台積電,2330.TW,2010-01-15,39.08037567138672,39.08037567138672,38.649567910978355,38.711113218301506,47852000.0,,,,,,,,,,
台積電,2330.TW,2010-01-18,38.711116790771484,38.83420272134997,38.649571477768596,38.649571477768596,30136000.0,,,,,,,,,,
台積電,2330.TW,2010-01-19,38.46493148803711,38.89573919024575,38.15721203613281,38.77265093994141,47202000.0,,,,,,,,,,
台積電,2330.TW,2010-01-20,38.77265167236328,38.89573992499278,38.28030100955844,38.711108719905106,52281000.0,,,,,,,,,,
台積電,2330.TW,2010-01-21,38.5264778137207,38.77265433589105,38.218758334864425,38.77265433589105,24738000.0,,,,,,,,,,
台積電,2330.TW,2010-01-22,37.60332489013672,37.97258972752978,37.54178192442804,37.849501448398755,63918000.0,,,,,,,,,,
台積電,2330.TW,2010-01-25,37.17250442504883,37.4186785361958,36.987870907047714,36.987870907047714,62151000.0,,,,,,,,,,
台積電,2330.TW,2010-01-26,36.987876892089844,37.664861089641036,36.92633394127296,37.29559634160045,79112000.0,,,,,,,,,,
台積電,2330.TW,2010-01-27,36.6801643371582,37.17251742709068,36.618621374773404,36.98788384450924,52639000.0,,,,,,,,,,
台積電,2330.TW,2010-01-28,36.92634582519531,37.849504470825195,36.80325753623522,37.2340653737386,43988000.0,,,,,,,,,,
台積電,2330.TW,2010-01-29,37.84950256347656,37.84950256347656,36.55708146380919,36.98788693188917,91560000.0,,,,,,,,,,
台積電,2330.TW,2010-02-01,36.80323791503906,37.35713374619974,36.6186067538897,37.35713374619974,75480000.0,,,,,,,,,,
台積電,2330.TW,2010-02-02,36.31089782714844,37.172513290945744,36.31089782714844,37.04942503215852,65510000.0,,,,,,,,,,
